"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"00700.HK","20251128","611.5","617.0","608.5","611.5","611.5","0.0","0.0","13216245.0","8086903031.11"
"00700.HK","20251201","613.5","623.0","613.0","619.5","611.5","8.0","1.31","12643338.0","7813043126.885"
"00700.HK","20251202","625.5","626.0","615.0","617.0","619.5","-2.5","-0.4","11460186.0","7090479118.985"
"00700.HK","20251203","616.0","616.0","608.5","611.0","617.0","-6.0","-0.97","11002158.0","6722780099.0"
"00700.HK","20251204","610.0","613.0","605.0","612.0","611.0","1.0","0.16","15329748.0","9330280581.5"
"00700.HK","20251205","605.0","611.0","604.0","610.0","612.0","-2.0","-0.33","14638391.0","8902501918.8"
"00700.HK","20251208","607.5","609.5","604.0","605.0","610.0","-5.0","-0.82","13421327.0","8134379992.96"
"00700.HK","20251209","609.5","610.0","596.0","602.5","605.0","-2.5","-0.41","17431321.0","10484820078.28"
"00700.HK","20251210","602.0","603.0","595.0","603.0","602.5","0.5","0.08","14750743.0","8842611858.38"
"00700.HK","20251211","609.0","612.0","599.0","601.5","603.0","-1.5","-0.25","12480887.0","7536004575.89"
"00700.HK","20251212","608.0","616.0","601.5","616.0","601.5","14.5","2.41","17825495.0","10871536434.36"
"00700.HK","20251215","606.0","608.5","602.0","603.0","616.0","-13.0","-2.11","15165502.0","9186457680.68"
"00700.HK","20251216","602.5","603.0","592.0","596.5","603.0","-6.5","-1.08","15987678.0","9521250035.65"
"00700.HK","20251217","597.0","606.0","594.5","605.0","596.5","8.5","1.42","14824785.0","8913471531.738"
"00700.HK","20251218","601.0","606.0","599.0","605.0","605.0","0.0","0.0","10153604.0","6118191950.385"
"00700.HK","20251219","610.0","617.5","607.0","614.0","605.0","9.0","1.49","17765762.0","10899320074.485"
"00700.HK","20251222","620.0","621.5","610.0","614.5","614.0","0.5","0.08","13868060.0","8519903911.22"
"00700.HK","20251223","613.5","614.5","601.5","602.0","614.5","-12.5","-2.03","15623392.0","9448325534.105"
"00700.HK","20251224","598.0","604.5","598.0","603.0","602.0","1.0","0.17","7324553.0","4407029326.1"
"00700.HK","20251229","606.0","611.0","596.0","596.5","603.0","-6.5","-1.08","18502650.0","11132678825.92"
"00700.HK","20251230","598.5","601.0","594.0","600.0","596.5","3.5","0.59","13582535.0","8129374890.16"
"00700.HK","20251231","597.5","602.5","596.0","599.0","600.0","-1.0","-0.17","10838209.0","6491607235.421"
"00700.HK","20260102","600.5","624.5","600.5","623.0","599.0","24.0","4.01","16200058.0","10010377766.805"
"00700.HK","20260105","624.0","628.0","615.5","624.5","623.0","1.5","0.24","19947025.0","12449753887.8"
"00700.HK","20260106","627.0","638.5","626.0","632.5","624.5","8.0","1.28","24168431.0","15313854511.52"
"00700.HK","20260107","627.5","629.5","615.0","624.5","632.5","-8.0","-1.26","21378622.0","13276699447.9"
"00700.HK","20260108","618.5","621.0","610.0","616.0","624.5","-8.5","-1.36","18742539.0","11517454670.46"
"00700.HK","20260109","616.0","617.0","610.0","611.0","616.0","-5.0","-0.81","17813669.0","10905861546.585"
"00700.HK","20260112","616.0","627.5","613.5","623.0","611.0","12.0","1.96","27530129.0","17094929270.93"
"00700.HK","20260113","637.0","639.0","622.5","627.5","623.0","4.5","0.72","24212695.0","15223559034.06"
"00700.HK","20260114","634.0","638.5","626.0","633.0","627.5","5.5","0.88","28677291.0","18145947867.85"
"00700.HK","20260115","631.0","632.5","618.5","622.0","633.0","-11.0","-1.74","26194252.0","16373184856.67"
"00700.HK","20260116","627.0","630.0","613.5","617.5","622.0","-4.5","-0.72","20616793.0","12738149855.62"
